epoca,periodo,provincia,distrito,provincia_pcode,distrito_pcode,avisos,ocorrencia_,chuvas,ventos_fortes,descarga_atmosferica,data,pessoas_afectadas_,familias__afectadas_,pessoas_indirectamente_afectadas,familias_indirectamente_afectadas,feridos,obitos,obitos2,grupos_vulneraveis,casas_parcialmente_dest,casas_totalmente_destr,casas_inundadas,escolas_afectadas,salas_de_aulas_parcialmente_destruidas,salas_de_aulas_totalmente_destruidas,alunos_afectados,prof_afectados,casas_de_culto,unidades_sanitarias,hospital_parcialmente_destruidas,hospital_totalmente_destruidas,centro_de_saude_parcialmente_destruidas,postes_de_energia,rede_de_pesca,embarcacoes,posto_de_transformacao,posto_policial,pensoes_para_hospedagem,sistema_de_abastecimento_de_agua,area_afectada_ha,familias_afectadas,accoes_em_curso,observacoes
2016-2017,,Niassa,Mandimba,MZ01,MZ0106,,Chuvas e ventos fortes,1,TRUE,0,12/4/2016,150,30,0,0,4,0,0,0,22,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Niassa,Lago,MZ01,MZ0104,,Chuvas e ventos fortes,1,TRUE,0,12/4/2016,100,20,0,0,0,0,0,0,20,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Sofala,Dondo,MZ07,MZ0707,,Chuvas fortes,1,FALSE,0,12/18/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Sofala,Chemba,MZ07,MZ0704,,Chuvas fortes,1,FALSE,0,12/17/2016,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Sofala,Nhamatanda,MZ07,MZ0713,,Chuvas e ventos fortes,1,TRUE,0,12/17/2016,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Sofala,Marromeu,MZ07,MZ0711,,Chuvas e ventos fortes,1,TRUE,0,12/18/2016,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Maputo,Moamba,MZ10,MZ1007,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,12/24/2016,430,86,0,0,0,0,0,0,21,65,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Maputo,Magude,MZ10,MZ1003,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,12/24/2016,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Maputo,Namaacha,MZ10,MZ1008,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,12/24/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Manica,Cidade de Chimoio,MZ06,MZ0601,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,12/24/2016,10,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Gaza,Chokwe,MZ09,MZ0906,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,12/24/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Gaza,Massingir,MZ09,MZ0911,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,12/24/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Gaza,Chonguene,MZ09,MZ0913,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,12/24/2016,110,23,0,0,0,0,0,0,22,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Gaza,Chibuto,MZ09,MZ0903,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,12/24/2016,125,25,0,0,0,0,0,0,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Gaza,Mandlakaze,MZ09,MZ0909,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,12/24/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Niassa,Mandimba,MZ01,MZ0106,,Chuvas e ventos fortes,1,TRUE,0,12/25/2016,164,47,0,0,2,0,0,0,0,47,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Sofala,Nhamatanda,MZ07,MZ0713,,Chuvas e ventos fortes,1,TRUE,0,12/25/2016,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Niassa,Chimbunila,MZ01,MZ0102,,Chuvas e ventos fortes,1,TRUE,0,12/22/2016,555,111,0,0,2,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Maputo_Cidade,KaMavota,MZ11,MZ1104,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,12/24/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Cabo_Delgado,Montepuez,MZ02,MZ0211,,Chuvas e ventos fortes,1,TRUE,0,12/26/2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Gaza,Guija,MZ09,MZ0907,062/INAM-DAPT/999/2016,Chuvas fortes,1,FALSE,0,12/24/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Gaza,Bilene,MZ09,MZ0902,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,12/24/2016,40,8,0,0,0,0,0,0,8,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Gaza,Cidade de Xai-Xai,MZ09,MZ0901,,Chuvas fortes,1,FALSE,0,12/28/2016,50,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Gaza,Mandlakaze,MZ09,MZ0909,,Chuvas fortes,1,FALSE,0,12/28/2016,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Maputo_Cidade,KaNlhamankulo,MZ11,MZ1107,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,12/24/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Maputo_Cidade,KaMubukwane,MZ11,MZ1106,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,12/24/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Nampula,Mecuburi,MZ03,MZ0310,,Chuvas fortes,1,FALSE,0,12/28/2016,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Nampula,Mogovolas,MZ03,MZ0313,,Chuvas e ventos fortes,1,TRUE,0,12/25/2016,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Zambezia,Lugela,MZ04,MZ0410,,Chuvas e ventos fortes,1,TRUE,0,12/26/2016,69,14,0,0,0,0,0,0,7,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Gaza,Chonguene,MZ09,MZ0913,,Chuvas fortes,1,FALSE,0,12/28/2016,50,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Maputo,Boane,MZ10,MZ1002,,Chuvas fortes,1,FALSE,0,12/28/2016,100,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Nampula,Muecate,MZ03,MZ0317,,Ventos fortes,0,TRUE,0,12/30/2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Niassa,Mandimba,MZ01,MZ0106,,Chuvas e ventos fortes,1,TRUE,0,2/1/2017,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Niassa,Chimbunila,MZ01,MZ0102,,Descarga atmosferica,0,FALSE,1,12/31/2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Niassa,Lago,MZ01,MZ0104,,Chuvas e ventos fortes,1,TRUE,0,3/1/2017,55,11,0,0,1,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Cabo_Delgado,Balama,MZ02,MZ0203,,Chuvas e ventos fortes,1,TRUE,0,3/1/2017,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Inhambane,Panda,MZ08,MZ0812,,Chuvas e ventos fortes,1,TRUE,0,12/25/2016,20,4,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Inhambane,Mabote,MZ08,MZ0808,,Chuvas e ventos fortes,1,TRUE,0,12/25/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Nampula,Murrupula,MZ03,MZ0318,,Chuvas fortes,1,FALSE,0,1/3/2017,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Nampula,Memba,MZ03,MZ0311,,Ventos fortes,0,TRUE,0,1/3/2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Niassa,Sanga,MZ01,MZ0116,,Chuvas e ventos fortes,1,TRUE,0,1/4/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Tete,Cahora Bassa,MZ05,MZ0503,,Chuvas e ventos fortes,1,TRUE,0,1/4/2017,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Nampula,Mossuril,MZ03,MZ0316,,Descarga atmosferica,0,FALSE,1,1/5/2017,5,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Nampula,Nacala Porto,MZ03,MZ0319,,Chuvas fortes,1,FALSE,0,1/10/2017,660,132,0,0,0,0,0,0,88,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Nampula,Mecuburi,MZ03,MZ0310,,Descarga atmosferica,0,FALSE,1,1/11/2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Nampula,Nacaroa,MZ03,MZ0321,,Chuvas e ventos fortes,1,TRUE,0,1/11/2017,390,78,0,0,0,0,0,0,78,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Nampula,Malema,MZ03,MZ0308,,Chuvas fortes,1,FALSE,0,1/11/2017,5,1,0,0,0,0,0,0,1,0,0,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Tete,Magoe,MZ05,MZ0509,,Descarga atmosferica,0,FALSE,1,1/12/2017,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Tete,Changara,MZ05,MZ0504,,Chuvas e ventos fortes,1,TRUE,0,1/12/2017,30,6,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Manica,Cidade de Chimoio,MZ06,MZ0601,,Chuvas fortes,1,FALSE,0,1/12/2017,25,5,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Niassa,Metarica,MZ01,MZ0112,,Chuvas e ventos fortes,1,TRUE,0,1/14/2017,9,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Maputo_Cidade,KaMaxakeni,MZ11,MZ1103,,Chuvas fortes,1,FALSE,0,1/15/2017,205,41,0,0,0,0,0,0,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Maputo_Cidade,KaMavota,MZ11,MZ1104,,Chuvas fortes,1,FALSE,0,1/15/2017,2450,490,0,0,0,0,0,0,0,2,488,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Maputo_Cidade,KaMubukwane,MZ11,MZ1106,,Chuvas fortes,1,FALSE,0,1/15/2017,4000,800,0,0,0,0,0,0,0,1,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Maputo_Cidade,KaNlhamankulo,MZ11,MZ1107,,Chuvas fortes,1,FALSE,0,1/15/2017,1160,232,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Maputo,Cidade da Matola,MZ10,MZ1001,,Chuvas fortes,1,FALSE,0,1/15/2017,3890,778,0,0,0,0,0,0,0,2,776,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Maputo,Magude,MZ10,MZ1003,,Chuvas fortes,1,FALSE,0,1/15/2017,360,72,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Gaza,Xai-Xai,MZ09,MZ0912,,Chuvas fortes,1,FALSE,0,1/16/2017,1780,356,0,0,0,0,0,0,0,0,355,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Tete,Cidade de Tete,MZ05,MZ0501,,Chuvas e ventos fortes,1,TRUE,0,1/18/2017,55,11,0,0,0,0,0,0,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Sofala,Buzi,MZ07,MZ0702,,Chuvas fortes,1,FALSE,0,1/17/2017,25,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Inhambane,Maxixe,MZ08,MZ0810,,Chuvas fortes,1,FALSE,0,1/16/2017,270,54,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Inhambane,Cidade de Inhambane,MZ08,MZ0801,,Chuvas fortes,1,FALSE,0,1/16/2017,531,106,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Inhambane,Govuro,MZ08,MZ0803,,Chuvas fortes,1,FALSE,0,1/17/2017,1829,507,6000,1200,2,0,0,0,0,160,243,2,0,0,74,7,0,0,0,0,0,0,0,0,0,0,0,27,0,0,,n/a
2016-2017,,Inhambane,Cidade de Inhambane,MZ08,MZ0801,,Chuvas e ventos fortes,1,TRUE,0,1/18/2017,1225,245,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Inhambane,Homoine,MZ08,MZ0804,,Chuvas e ventos fortes,1,TRUE,0,1/18/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Inhambane,Maxixe,MZ08,MZ0810,,Chuvas e ventos fortes,1,TRUE,0,1/18/2017,490,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Maputo_Cidade,KaTembe,MZ11,MZ1102,,Chuvas e ventos fortes,1,TRUE,0,1/15/2017,295,59,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Maputo_Cidade,KaMpfumo,MZ11,MZ1101,,Chuvas e ventos fortes,1,TRUE,0,1/15/2017,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Maputo_Cidade,KaNlhamankulo,MZ11,MZ1107,,Chuvas e ventos fortes,1,TRUE,0,1/15/2017,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Maputo,Moamba,MZ10,MZ1007,,Ventos fortes,0,TRUE,0,1/17/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Cabo_Delgado,Mocimboa da Praia,MZ02,MZ0210,,Chuvas e ventos fortes,1,TRUE,0,1/16/2017,17,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Tete,Cidade de Tete,MZ05,MZ0501,,Chuvas e ventos fortes,1,TRUE,0,1/21/2017,35,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Tete,Mutarara,MZ05,MZ0513,,Chuvas e ventos fortes,1,TRUE,0,1/21/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Tete,Cidade de Tete,MZ05,MZ0501,,Chuvas e ventos fortes,1,TRUE,0,1/19/2017,370,74,0,0,0,0,0,0,50,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Sofala,Machanga,MZ07,MZ0709,,Inundacoes,0,FALSE,0,1/26/2017,1505,301,43205,10164,0,0,0,0,0,47,349,21,0,7,6909,256,1,0,0,0,0,0,0,0,0,0,0,31,0,0,,n/a
2016-2017,,Tete,Cahora Bassa,MZ05,MZ0503,,Chuvas e ventos fortes,1,TRUE,0,1/23/2017,10,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Cabo_Delgado,Montepuez,MZ02,MZ0211,,Chuvas e ventos fortes,1,TRUE,0,1/21/2017,665,133,0,0,0,0,0,0,127,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Sofala,Nhamatanda,MZ07,MZ0713,,Inundacoes,0,FALSE,0,1/22/2017,6785,1357,0,0,0,0,0,0,0,785,955,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Maputo,Boane,MZ10,MZ1002,,Descarga atmosferica,0,FALSE,1,1/25/2017,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Maputo,Boane,MZ10,MZ1002,,Chuvas e ventos fortes,1,TRUE,0,1/25/2017,60,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Maputo,Cidade da Matola,MZ10,MZ1001,,Chuvas e ventos fortes,1,TRUE,0,1/25/2017,2745,549,0,0,0,0,0,0,0,0,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Maputo,Namaacha,MZ10,MZ1008,,Chuvas e ventos fortes,1,TRUE,0,1/25/2017,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Niassa,Lago,MZ01,MZ0104,,Chuvas fortes,1,FALSE,0,1/25/2017,45,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Cabo_Delgado,Quissanga,MZ02,MZ0218,,Chuvas e ventos fortes,1,TRUE,0,1/26/2017,0,0,0,0,0,0,0,0,0,0,0,0,2,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Niassa,Mandimba,MZ01,MZ0106,,Descarga atmosferica,0,FALSE,1,1/29/2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Tete,Mutarara,MZ05,MZ0513,,Descarga atmosferica,0,FALSE,1,1/28/2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Nampula,Meconta,MZ03,MZ0309,,Chuvas fortes,1,FALSE,0,1/31/2017,10,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Nampula,Mecuburi,MZ03,MZ0310,,Chuvas fortes,1,FALSE,0,1/30/2017,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Nampula,Mossuril,MZ03,MZ0316,,Descarga atmosferica,0,FALSE,1,2/5/2017,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Nampula,Malema,MZ03,MZ0308,,Chuvas e ventos fortes,1,TRUE,0,1/31/2017,25,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Tete,Cidade de Tete,MZ05,MZ0501,,Chuvas e ventos fortes,1,TRUE,0,2/6/2017,15,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Tete,Cidade de Tete,MZ05,MZ0501,,Chuvas e ventos fortes,1,TRUE,0,2/7/2017,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Tete,Magoe,MZ05,MZ0509,,Chuvas e ventos fortes,1,TRUE,0,2/7/2017,35,7,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Tete,Cidade de Tete,MZ05,MZ0501,,Descarga atmosferica,0,FALSE,1,2/7/2017,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Nampula,Ribaue,MZ03,MZ0324,,Chuvas fortes,1,FALSE,0,2/6/2017,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Nampula,Malema,MZ03,MZ0308,,Chuvas fortes,1,FALSE,0,2/6/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Tete,Cidade de Tete,MZ05,MZ0501,,Chuvas e ventos fortes,1,TRUE,0,2/9/2017,80,16,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Nampula,Memba,MZ03,MZ0311,,Descarga atmosferica,0,FALSE,1,2/9/2017,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Cabo_Delgado,Cidade de Pemba,MZ02,MZ0201,,Chuvas fortes,1,FALSE,0,2/9/2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Niassa,Muembe,MZ01,MZ0113,,Descarga atmosferica,0,FALSE,1,2/11/2017,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Niassa,Marrupa,MZ01,MZ0107,,Chuvas e ventos fortes,1,TRUE,0,2/11/2017,18,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Gaza,Cidade de Xai-Xai,MZ09,MZ0901,,Ciclone,0,FALSE,0,2/15/2017,0,0,0,0,0,0,0,0,0,0,0,2,5,0,600,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Gaza,Chonguene,MZ09,MZ0913,,Ciclone,0,FALSE,0,2/15/2017,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Gaza,Mandlakaze,MZ09,MZ0909,,Ciclone,0,FALSE,0,2/15/2017,115,23,0,0,0,0,0,0,23,0,0,1,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Maputo_Cidade,KaMavota,MZ11,MZ1104,,Ciclone,0,FALSE,0,2/15/2017,40,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Maputo_Cidade,KaMpfumo,MZ11,MZ1101,,Ciclone,0,FALSE,0,2/16/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Gaza,Chibuto,MZ09,MZ0903,,Ciclone,0,FALSE,0,2/16/2017,35,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,n/a
2016-2017,,Nampula,Ribaue,MZ03,MZ0324,,Chuvas fortes,1,FALSE,0,2/17/2017,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,n/a
